"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2013";"563";"66";"42";"417";"1088"
"2014";"2143";"817";"402";"1855";"5217"
"2015";"1800";"910";"516";"1623";"4849"
"2016";"1385";"1099";"913";"1132";"4529"
"2017";"2482";"1901";"1157";"1381";"6921"
"2018";"1620";"1369";"977";"1090";"5056"
"2019";"795";"637";"689";"3110";"5231"
"2020";"1201";"217";"158";"1861";"3437"
"2021";"1458";"566";"420";"1012";"3456"
"2022";"2232";"178";"156";"507";"3073"
"2023";"1212";"138";"77";"285";"1712"
"2024";"1330";"137";"84";"318";"1869"
"2025";"880";"137";"51";"167";"1235"
"Total";"19101";"8172";"5642";"14758";"47673"
