"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2015";"1068";"251";"287";"804";"2410"
"2016";"1887";"536";"336";"1537";"4296"
"2017";"5870";"782";"484";"1237";"8373"
"2018";"4968";"611";"281";"880";"6740"
"2019";"5385";"456";"166";"588";"6595"
"2020";"7642";"276";"114";"248";"8280"
"2021";"14707";"535";"157";"219";"15618"
"2022";"13236";"259";"123";"219";"13837"
"2023";"13454";"655";"190";"419";"14718"
"2024";"17601";"595";"268";"561";"19025"
"2025";"11231";"450";"186";"488";"12355"
"Total";"97049";"5406";"2592";"7200";"112247"
