"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"143";"0";"5";"12";"0";"160"
"2014";"49774";"5903";"12959";"32713";"2";"101351"
"2015";"55799";"6546";"10457";"21146";"4";"93952"
"2016";"74581";"7042";"7519";"22927";"2";"112071"
"2017";"143798";"10926";"11629";"24172";"1";"190526"
"2018";"182033";"13218";"9446";"28865";"5";"233567"
"2019";"189995";"13062";"11987";"41922";"6";"256972"
"2020";"119822";"9061";"7110";"19279";"7";"155279"
"2021";"224188";"15292";"12729";"30859";"7";"283075"
"2022";"205468";"15932";"12961";"46432";"1";"280794"
"2023";"241806";"17157";"17003";"56684";"4";"332654"
"2024";"305110";"15311";"14397";"56381";"4";"391203"
"2025";"248353";"10972";"8873";"32826";"0";"301024"
"Ignorado";"1";"0";"0";"0";"0";"1"
"Total";"2040871";"140422";"137075";"414218";"43";"2732629"
