"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2014";"8873";"5370";"2810";"5605";"0";"22658"
"2015";"16089";"10912";"4542";"13727";"0";"45270"
"2016";"10786";"8935";"4953";"11996";"1";"36671"
"2017";"37762";"12264";"7382";"19727";"0";"77135"
"2018";"35384";"12949";"9520";"29258";"0";"87111"
"2019";"49597";"10543";"8389";"28714";"0";"97243"
"2020";"37314";"7330";"5612";"20847";"0";"71103"
"2021";"58126";"10746";"7622";"24811";"1";"101306"
"2022";"58686";"11897";"8831";"32453";"3";"111870"
"2023";"60371";"14408";"10733";"43683";"0";"129195"
"2024";"63813";"15942";"10064";"42154";"0";"131973"
"2025";"58502";"14472";"7550";"34222";"0";"114746"
"Ignorado";"1";"0";"0";"0";"0";"1"
"Total";"495304";"135768";"88008";"307197";"5";"1026282"
