"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"572";"639";"1315";"1097";"0";"3623"
"2014";"12648";"2673";"2846";"7780";"0";"25947"
"2015";"18148";"2960";"2718";"10745";"0";"34571"
"2016";"30398";"3728";"4501";"10257";"0";"48884"
"2017";"31017";"3942";"5912";"9344";"0";"50215"
"2018";"33739";"3590";"6160";"11167";"0";"54656"
"2019";"26881";"3184";"3164";"8069";"0";"41298"
"2020";"20474";"3464";"3047";"5155";"0";"32140"
"2021";"40646";"5718";"3940";"5774";"0";"56078"
"2022";"43825";"4862";"3708";"4941";"0";"57336"
"2023";"46358";"4637";"2822";"4589";"1";"58407"
"2024";"49634";"4325";"2673";"5403";"0";"62035"
"2025";"51687";"3539";"2322";"3756";"0";"61304"
"Total";"406027";"47261";"45128";"88077";"1";"586494"
