"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"465";"215";"484";"1044";"0";"2208"
"2014";"11200";"4311";"4200";"18032";"0";"37743"
"2015";"16636";"3909";"3256";"8086";"0";"31887"
"2016";"15215";"3735";"2795";"10819";"0";"32564"
"2017";"19271";"3002";"1798";"7472";"1";"31544"
"2018";"27431";"3937";"2526";"7101";"0";"40995"
"2019";"43204";"4551";"3379";"7925";"0";"59059"
"2020";"20897";"2431";"1358";"2495";"0";"27181"
"2021";"42647";"3274";"2055";"4288";"0";"52264"
"2022";"45296";"5122";"2442";"4719";"0";"57579"
"2023";"47861";"4659";"1838";"3532";"0";"57890"
"2024";"53574";"3867";"1982";"3039";"0";"62462"
"2025";"37780";"3283";"861";"3004";"0";"44928"
"Total";"381477";"46296";"28974";"81556";"1";"538304"
