"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2014";"3735";"3508";"2083";"10824";"0";"20150"
"2015";"8868";"6850";"3871";"14844";"2";"34435"
"2016";"8654";"5416";"3495";"17004";"1";"34570"
"2017";"5166";"3172";"2114";"18918";"2";"29372"
"2018";"5384";"2241";"2579";"20283";"0";"30487"
"2019";"6927";"4855";"5359";"16038";"0";"33179"
"2020";"4793";"2639";"2237";"8121";"0";"17790"
"2021";"10998";"2664";"2355";"11505";"0";"27522"
"2022";"21656";"4433";"2673";"14777";"0";"43539"
"2023";"25243";"4714";"3764";"9432";"0";"43153"
"2024";"21298";"4214";"2601";"12387";"0";"40500"
"2025";"15212";"3165";"2102";"10476";"0";"30955"
"Total";"137934";"47871";"35233";"164609";"5";"385652"
