"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"36";"16";"4";"7";"0";"63"
"2014";"5269";"594";"597";"4975";"0";"11435"
"2015";"6403";"1142";"806";"5553";"0";"13904"
"2016";"10308";"1422";"1685";"10893";"0";"24308"
"2017";"17480";"3452";"3282";"15714";"1";"39929"
"2018";"25451";"2443";"2702";"14900";"0";"45496"
"2019";"23864";"4673";"5392";"16690";"0";"50619"
"2020";"26643";"3852";"4715";"13146";"0";"48356"
"2021";"28072";"4798";"4598";"12545";"0";"50013"
"2022";"30525";"6515";"5998";"16457";"0";"59495"
"2023";"37344";"6441";"5694";"17661";"1";"67141"
"2024";"40631";"6568";"4948";"17138";"0";"69285"
"2025";"29678";"4386";"3257";"11885";"2";"49208"
"Total";"281704";"46302";"43678";"157564";"4";"529252"
