"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"66";"18";"5";"11";"0";"100"
"2014";"40856";"6023";"5127";"13760";"1";"65767"
"2015";"42662";"7431";"6131";"12365";"8";"68597"
"2016";"29683";"6442";"5304";"10856";"8";"52293"
"2017";"33150";"6372";"6271";"10311";"2";"56106"
"2018";"42185";"5386";"5517";"11987";"0";"65075"
"2019";"49064";"5765";"4982";"12202";"0";"72013"
"2020";"35555";"3090";"2575";"6699";"0";"47919"
"2021";"46278";"3845";"4133";"9601";"0";"63857"
"2022";"47508";"4474";"3079";"7837";"0";"62898"
"2023";"53096";"3504";"2996";"9461";"0";"69057"
"2024";"58985";"3514";"2910";"8495";"0";"73904"
"2025";"37246";"4860";"2639";"6172";"0";"50917"
"Total";"516334";"60724";"51669";"119757";"19";"748503"
