"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2014";"0";"0";"0";"1";"0";"1"
"2016";"29";"63";"30";"63";"0";"185"
"2017";"1231";"625";"320";"459";"0";"2635"
"2018";"16023";"1943";"786";"1239";"0";"19991"
"2019";"17224";"1929";"1089";"2160";"0";"22402"
"2020";"15126";"1789";"751";"1003";"0";"18669"
"2021";"28018";"2940";"1458";"1627";"0";"34043"
"2022";"28423";"1934";"1072";"1725";"0";"33154"
"2023";"87996";"1956";"1148";"1724";"4";"92828"
"2024";"74214";"2183";"1113";"3711";"0";"81221"
"2025";"65268";"4282";"1882";"3394";"1";"74827"
"Total";"333552";"19644";"9649";"17106";"5";"379956"
