"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"24091";"6294";"3884";"6886";"0";"41155"
"2014";"136899";"36902";"25155";"60745";"0";"259701"
"2015";"164284";"40571";"32878";"79909";"1";"317643"
"2016";"168882";"44270";"30567";"86670";"0";"330389"
"2017";"166910";"45940";"43302";"92689";"0";"348841"
"2018";"154978";"46625";"35379";"110930";"0";"347912"
"2019";"165827";"48147";"35045";"103067";"0";"352086"
"2020";"105591";"22297";"14575";"51542";"0";"194005"
"2021";"129180";"32526";"23936";"56210";"0";"241852"
"2022";"155234";"32495";"26573";"90020";"1";"304323"
"2023";"162240";"38906";"36316";"102070";"0";"339532"
"2024";"141279";"36677";"35179";"85905";"2";"299042"
"2025";"135655";"33982";"20238";"62493";"0";"252368"
"Total";"1811050";"465632";"363027";"989136";"4";"3628849"
