"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"0";"0";"0";"1";"0";"1"
"2014";"23084";"4229";"4365";"12398";"0";"44076"
"2015";"26725";"5341";"5170";"13171";"0";"50407"
"2016";"25759";"4744";"5193";"23099";"0";"58795"
"2017";"26458";"5412";"4055";"18788";"0";"54713"
"2018";"29708";"5027";"4882";"27607";"0";"67224"
"2019";"46945";"7492";"7718";"31080";"0";"93235"
"2020";"33898";"4386";"4570";"21085";"0";"63939"
"2021";"63180";"9265";"7614";"36513";"0";"116572"
"2022";"89885";"21730";"18110";"56783";"0";"186508"
"2023";"120072";"34228";"29839";"101501";"0";"285640"
"2024";"123998";"37059";"33293";"108248";"4";"302602"
"2025";"102586";"24093";"17449";"89901";"0";"234029"
"Total";"712298";"163006";"142258";"540175";"4";"1557741"
