"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"159";"64";"56";"319";"0";"598"
"2014";"8763";"4244";"3414";"11901";"0";"28322"
"2015";"18580";"5594";"4452";"17386";"2";"46014"
"2016";"14898";"7066";"5043";"15774";"0";"42781"
"2017";"22924";"8049";"5450";"16556";"2";"52981"
"2018";"22161";"7137";"4771";"15851";"0";"49920"
"2019";"32376";"7438";"5956";"16069";"1";"61840"
"2020";"23673";"4142";"3135";"7735";"0";"38685"
"2021";"32753";"6229";"4442";"12245";"1";"55670"
"2022";"31586";"6531";"5227";"15738";"2";"59084"
"2023";"35786";"9304";"7031";"20825";"0";"72946"
"2024";"39720";"9887";"7265";"18907";"1";"75780"
"2025";"34527";"8631";"5333";"15076";"0";"63567"
"Total";"317906";"84316";"61575";"184382";"9";"648188"
