"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"644";"429";"1302";"2981";"0";"5356"
"2014";"56124";"28278";"23779";"45729";"2";"153912"
"2015";"61135";"29464";"23256";"57399";"0";"171254"
"2016";"50408";"26295";"22920";"66315";"0";"165938"
"2017";"56357";"26171";"22748";"69607";"1";"174884"
"2018";"53054";"29330";"22674";"58169";"1";"163228"
"2019";"45165";"30486";"23422";"65837";"0";"164910"
"2020";"33232";"17505";"12875";"33082";"0";"96694"
"2021";"41640";"23455";"16940";"56607";"1";"138643"
"2022";"36586";"22031";"19571";"71383";"0";"149571"
"2023";"45749";"29309";"23093";"71848";"0";"169999"
"2024";"48507";"25482";"17460";"71804";"0";"163253"
"2025";"34260";"16382";"12722";"66906";"0";"130270"
"Ignorado";"1";"0";"0";"0";"0";"1"
"Total";"562862";"304617";"242762";"737667";"5";"1847913"
