"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"3050";"1403";"793";"550";"0";"5796"
"2014";"24375";"5937";"3151";"4070";"3";"37536"
"2015";"15196";"6327";"2759";"6182";"3";"30467"
"2016";"13062";"6659";"3005";"5265";"5";"27996"
"2017";"24033";"8579";"3670";"5140";"2";"41424"
"2018";"24264";"8728";"3304";"5131";"0";"41427"
"2019";"35828";"6862";"3549";"5034";"2";"51275"
"2020";"14935";"4393";"2129";"2880";"0";"24337"
"2021";"32891";"4607";"3626";"7274";"0";"48398"
"2022";"32878";"4279";"3111";"7180";"0";"47448"
"2023";"37126";"9999";"3340";"4720";"0";"55185"
"2024";"42129";"5555";"2089";"6369";"0";"56142"
"2025";"27496";"4157";"1369";"4516";"0";"37538"
"Ignorado";"6";"2";"0";"0";"0";"8"
"Total";"327269";"77487";"35895";"64311";"15";"504977"
