"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"8986";"7528";"4969";"11177";"0";"32660"
"2014";"104544";"61814";"51282";"157498";"1";"375139"
"2015";"98756";"49081";"53057";"178646";"1";"379541"
"2016";"105916";"51990";"47895";"159412";"4";"365217"
"2017";"111100";"52331";"49000";"166111";"1";"378543"
"2018";"126458";"49291";"53329";"201780";"2";"430860"
"2019";"156214";"54321";"51950";"222567";"1";"485053"
"2020";"118513";"43231";"33639";"114814";"1";"310198"
"2021";"155079";"52797";"45890";"172030";"2";"425798"
"2022";"160923";"48084";"44362";"221351";"2";"474722"
"2023";"171429";"58356";"61865";"251960";"0";"543610"
"2024";"187620";"66320";"59864";"247075";"0";"560879"
"2025";"159834";"45761";"45974";"211685";"1";"463255"
"Ignorado";"1";"0";"0";"0";"0";"1"
"Total";"1665373";"640905";"603076";"2316106";"16";"5225476"
