Data,Auxiliar de Radiologia Revelação,Tecnico em Radiologia e Imagenologia,Total
2007/ago.,0,413,413
2007/set.,0,418,418
2007/out.,2,416,418
2007/nov.,2,416,418
2007/dez.,2,427,429
2008/jan.,2,440,442
2008/fev.,3,439,442
2008/mar.,4,432,436
2008/abr.,10,433,443
2008/mai.,12,429,441
2008/jun.,26,429,455
2008/jul.,26,429,455
2008/ago.,26,428,454
2008/set.,38,429,467
2008/out.,38,437,475
2008/nov.,30,466,496
2008/dez.,32,466,498
2009/jan.,32,476,508
2009/fev.,32,488,520
2009/mar.,32,488,520
2009/abr.,33,479,512
2009/mai.,33,480,513
2009/jun.,34,477,511
2009/jul.,33,474,507
2009/ago.,33,479,512
2009/set.,33,486,519
2009/out.,33,487,520
2009/nov.,33,487,520
2009/dez.,33,487,520
2010/jan.,33,499,532
2010/fev.,33,499,532
2010/mar.,33,498,531
2010/abr.,37,503,540
2010/mai.,37,512,549
2010/jun.,37,511,548
2010/jul.,38,506,544
2010/ago.,38,504,542
2010/set.,37,510,547
2010/out.,37,513,550
2010/nov.,37,513,550
2010/dez.,37,515,552
2011/jan.,37,515,552
2011/fev.,37,521,558
2011/mar.,37,523,560
2011/abr.,37,519,556
2011/mai.,43,516,559
2011/jun.,43,516,559
2011/jul.,44,514,558
2011/ago.,44,514,558
2011/set.,44,512,556
2011/out.,45,511,556
2011/nov.,45,511,556
2011/dez.,45,518,563
2012/jan.,44,520,564
2012/fev.,44,539,583
2012/mar.,43,535,578
2012/abr.,43,511,554
2012/mai.,43,511,554
2012/jun.,43,506,549
2012/jul.,42,506,548
2012/ago.,44,514,558
2012/set.,44,512,556
2012/out.,44,517,561
2012/nov.,42,537,579
2012/dez.,42,550,592
2013/jan.,42,556,598
2013/fev.,42,553,595
2013/mar.,42,553,595
2013/abr.,42,553,595
2013/mai.,41,550,591
2013/jun.,41,550,591
2013/jul.,42,551,593
2013/ago.,43,554,597
2013/set.,43,555,598
2013/out.,41,553,594
2013/nov.,40,564,604
2013/dez.,37,584,621
2014/jan.,37,583,620
2014/fev.,37,583,620
2014/mar.,37,574,611
2014/abr.,37,575,612
2014/mai.,34,577,611
2014/jun.,34,587,621
2014/jul.,35,590,625
2014/ago.,34,590,624
2014/set.,35,596,631
2014/out.,35,593,628
2014/nov.,34,592,626
2014/dez.,34,592,626
2015/jan.,34,584,618
2015/fev.,34,571,605
2015/mar.,33,580,613
2015/abr.,30,575,605
2015/mai.,30,574,604
2015/jun.,30,575,605
2015/jul.,29,553,582
2015/ago.,28,541,569
2015/set.,25,451,476
2015/out.,31,544,575
2015/nov.,32,531,563
2015/dez.,32,518,550
2016/jan.,32,518,550
2016/fev.,30,481,511
2016/mar.,31,516,547
2016/abr.,30,512,542
2016/mai.,30,515,545
2016/jun.,30,517,547
2016/jul.,29,526,555
2016/ago.,30,534,564
2016/set.,30,535,565
2016/out.,30,537,567
2016/nov.,30,535,565
2016/dez.,30,535,565
2017/jan.,30,529,559
2017/fev.,30,529,559
2017/mar.,30,527,557
2017/abr.,30,528,558
2017/mai.,30,530,560
2017/jun.,30,545,575
2017/jul.,30,547,577
2017/ago.,29,554,583
2017/set.,29,557,586
2017/out.,29,562,591
2017/nov.,29,561,590
2017/dez.,29,560,589
2018/jan.,28,554,582
2018/fev.,29,548,577
2018/mar.,29,546,575
2018/abr.,29,553,582
2018/mai.,29,560,589
