TELA,Links,Errors,Contrast Errors,Alerts,Features,Structure,ARIA,AIM Score,cod_erro
1,https://datasus.saude.gov.br/,4,44,43,27,59,34,4.9,
2,https://datasus.saude.gov.br/sobre-o-datasus/,5,8,21,5,42,3,6.9,
3,https://www.gov.br/saude/pt-br/composicao/quem-e-quem,6,0,12,61,135,29,8.5,
4,https://datasus.saude.gov.br/estrutura/,4,13,8,4,39,2,6.5,
5,https://datasus.saude.gov.br/sistemas/,4,14,9,5,38,2,5.9,
6,https://datasus.saude.gov.br/material-de-apoio/,5,12,23,4,47,2,6.2,
7,https://datasus.saude.gov.br/catalogo-de-servicos/,4,13,12,5,41,1,6.4,
8,https://datasus.saude.gov.br/desenv-de-software/,4,31,14,4,61,3,4.0,
9,https://datasus.saude.gov.br/fale-conosco/,5,15,20,4,44,4,5.7,
10,https://datasus.saude.gov.br/perguntas-frequentes/,7,8,77,23,258,57,7.2,
11,https://datasus.saude.gov.br/mobilems/,6,15,19,5,49,3,5.7,
12,https://datasus.saude.gov.br/categoria/noticias/,5,34,29,14,55,3,3.8,
13,https://datasus.saude.gov.br/seguranca-da-informacao/,4,17,10,5,45,1,5.8,
14,https://datasus.saude.gov.br/acesso-a-informacao/,4,16,13,11,41,4,5.8,
15,https://datasus.saude.gov.br/processos-seletivos/,4,8,8,5,37,1,6.8,
16,https://meususdigital.saude.gov.br/login,2,11,3,4,3,10,5.7,
17,https://datasus.saude.gov.br/cartao-nacional-de-saude/,4,23,11,5,43,0,4.9,
18,https://datasus.saude.gov.br/informacoes-de-saude-tabnet/,4,23,9,5,55,60,5.6,
19,https://datasus.saude.gov.br/acesso-a-informacao/indicadores-e-dados-basicos/,5,10,10,4,38,0,6.7,
20,http://tabnet.datasus.gov.br/cgi/idb2012/matriz.htm,2,15,22,7,20,0,5.7,
21,https://datasus.saude.gov.br/acesso-a-informacao/rol-de-diretrizes-objetivos-metas-e-indicadores-2013-2015-edicao-2015/,8,11,12,4,38,0,5.8,
22,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2015/cnv/coapmundf.def,3,11,12,13,5,0,6.1,
23,https://datasus.saude.gov.br/acesso-a-informacao/rol-de-diretrizes-objetivos-metas-e-indicadores-2013-2015-resultados-passiveis-de-apuracao-quadrimestral-3o-quadrimestre-2015/,7,11,12,4,38,0,5.8,
24,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2013Mon/cnv/monitdf.def,3,11,11,13,5,0,5.8,
25,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2013Mon/cnv/absdf.def,3,11,11,13,5,0,5.8,
26,https://datasus.saude.gov.br/acesso-a-informacao/rol-de-diretrizes-objetivos-metas-e-indicadores-2013-2015-edicao-2014/,8,11,12,4,38,0,5.8,
27,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2014/cnv/coapmundf.def,3,11,12,13,5,0,6.1,
28,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?pacto/2014/cnv/absdf.def,3,11,11,13,5,0,6.1,
29,https://datasus.saude.gov.br/acesso-a-informacao/rol-de-diretrizes-objetivos-metas-e-indicadores-2013-2015-edicao-2013/,8,11,12,4,38,0,5.8,
30,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2013/cnv/coapmundf.def,3,11,12,13,5,0,6.1,
