"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2014";"21051";"2231";"1302";"1804";"26388"
"2015";"28707";"2253";"1187";"4200";"36347"
"2016";"26991";"3547";"1923";"5366";"37827"
"2017";"59191";"3926";"3252";"5749";"72118"
"2018";"64178";"5218";"2966";"6607";"78969"
"2019";"64585";"6543";"3788";"8405";"83321"
"2020";"41406";"5039";"2492";"5290";"54227"
"2021";"58976";"7283";"3782";"5620";"75661"
"2022";"58016";"4547";"2853";"6661";"72077"
"2023";"52165";"3514";"2502";"5487";"63668"
"2024";"62870";"3140";"3189";"5776";"74975"
"2025";"47035";"2725";"3078";"6234";"59072"
"Ignorado";"1";"0";"1";"0";"2"
"Total";"585172";"49966";"32315";"67199";"734652"
