"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2014";"1";"0";"0";"0";"0";"1"
"2015";"713";"1119";"110";"91";"0";"2033"
"2016";"1003";"685";"79";"162";"0";"1929"
"2017";"3131";"697";"306";"343";"0";"4477"
"2018";"13983";"1620";"1037";"3021";"3";"19664"
"2019";"13709";"1783";"1126";"2950";"2";"19570"
"2020";"9139";"2165";"845";"1314";"0";"13463"
"2021";"11443";"2682";"2913";"2055";"0";"19093"
"2022";"9043";"1174";"625";"10842";"0";"21684"
"2023";"19747";"1204";"1588";"10406";"0";"32945"
"2024";"39262";"4488";"3231";"5517";"0";"52498"
"2025";"32655";"3924";"1786";"2154";"0";"40519"
"Total";"153829";"21541";"13646";"38855";"5";"227876"
