"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2013";"74";"59";"73";"310";"516"
"2014";"208";"177";"224";"942";"1551"
"2016";"9";"2";"5";"673";"689"
"2017";"5";"20";"29";"988";"1042"
"2018";"2";"6";"5";"633";"646"
"2019";"2889";"329";"11";"430";"3659"
"2020";"4225";"152";"21";"135";"4533"
"2021";"234";"1";"0";"1";"236"
"2022";"367";"150";"86";"744";"1347"
"2023";"564";"304";"445";"1278";"2591"
"2024";"1724";"660";"859";"821";"4064"
"2025";"1756";"149";"392";"420";"2717"
"Total";"12057";"2009";"2150";"7375";"23591"
