"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2013";"102";"65";"145";"476";"788"
"2014";"15141";"6010";"6095";"29943";"57189"
"2015";"17354";"12366";"12208";"43607";"85535"
"2016";"21253";"13294";"13840";"50128";"98515"
"2017";"13660";"12941";"12133";"55707";"94441"
"2018";"10772";"13502";"14942";"56861";"96077"
"2019";"12276";"12813";"17178";"56698";"98965"
"2020";"7621";"7366";"8583";"29705";"53275"
"2021";"17209";"10868";"10386";"32982";"71445"
"2022";"13579";"9721";"10804";"43703";"77807"
"2023";"24418";"13040";"11727";"51847";"101032"
"2024";"22150";"12911";"12493";"52964";"100518"
"2025";"18487";"13305";"11979";"38628";"82399"
"Total";"194022";"138202";"142513";"543249";"1017986"
