"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"624";"189";"93";"137";"0";"1043"
"2014";"27426";"10177";"5989";"10109";"1";"53702"
"2015";"37081";"15944";"7686";"14209";"4";"74924"
"2016";"39053";"17327";"8268";"18394";"14";"83056"
"2017";"40079";"14475";"8084";"16760";"0";"79398"
"2018";"35895";"14011";"10569";"18288";"1";"78764"
"2019";"38108";"19318";"8819";"22903";"0";"89148"
"2020";"29005";"8230";"4309";"9153";"0";"50697"
"2021";"52177";"12199";"5743";"9028";"0";"79147"
"2022";"63285";"16360";"6861";"13324";"0";"99830"
"2023";"70373";"18337";"7693";"15306";"0";"111709"
"2024";"63904";"16232";"8037";"18065";"0";"106238"
"2025";"42972";"12125";"6943";"16693";"1";"78734"
"Total";"539982";"174924";"89094";"182369";"21";"986390"
