"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"15";"11";"1";"7";"0";"34"
"2014";"100001";"17428";"11413";"39112";"10";"167964"
"2015";"62974";"24178";"15517";"55431";"4";"158104"
"2016";"134433";"39114";"29418";"94179";"17";"297161"
"2017";"215600";"59371";"43760";"145410";"4";"464145"
"2018";"213294";"57080";"39711";"161473";"7";"471565"
"2019";"162170";"58922";"40208";"180952";"5";"442257"
"2020";"79131";"35138";"27732";"115085";"0";"257086"
"2021";"114706";"55457";"42986";"138269";"2";"351420"
"2022";"118602";"49222";"40101";"182585";"2";"390512"
"2023";"121699";"61061";"45560";"196078";"2";"424400"
"2024";"125975";"58196";"45035";"181131";"2";"410339"
"2025";"130627";"54957";"35117";"154183";"1";"374885"
"Ignorado";"0";"0";"1";"0";"0";"1"
"Total";"1579227";"570135";"416560";"1643895";"56";"4209873"
