"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"4";"10";"5";"4";"0";"23"
"2014";"134811";"14486";"11819";"22277";"2";"183395"
"2015";"161742";"16149";"13685";"29014";"1";"220591"
"2016";"120303";"14193";"12973";"22212";"1";"169682"
"2017";"141944";"17107";"15696";"21164";"0";"195911"
"2018";"127642";"14549";"15326";"28295";"1";"185813"
"2019";"136603";"14514";"15568";"31332";"1";"198018"
"2020";"73496";"6454";"5857";"13123";"1";"98931"
"2021";"120933";"8031";"9165";"16852";"1";"154982"
"2022";"114557";"7775";"9299";"20520";"0";"152151"
"2023";"121160";"9867";"11748";"26587";"0";"169362"
"2024";"120182";"9456";"10520";"27500";"0";"167658"
"2025";"101136";"6333";"7017";"20837";"0";"135323"
"Ignorado";"5";"0";"0";"0";"0";"5"
"Total";"1474518";"138924";"138678";"279717";"8";"2031845"
