"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";"Ignorado";" Total"
"2013";"904";"239";"82";"163";"0";"1388"
"2014";"38400";"24506";"17656";"38238";"0";"118800"
"2015";"42914";"28620";"22710";"52488";"0";"146732"
"2016";"42743";"29716";"22205";"68028";"1";"162693"
"2017";"48623";"32980";"24835";"78879";"0";"185317"
"2018";"58265";"31293";"23794";"79542";"0";"192894"
"2019";"59468";"36556";"25356";"90189";"0";"211569"
"2020";"45392";"23283";"17096";"58539";"2";"144312"
"2021";"60632";"35862";"24293";"74930";"3";"195720"
"2022";"65588";"38435";"30413";"87001";"3";"221440"
"2023";"73604";"46408";"35076";"98596";"1";"253685"
"2024";"70854";"45922";"34633";"103414";"1";"254824"
"2025";"68941";"36360";"23771";"83347";"0";"212419"
"Total";"676328";"410180";"301920";"913354";"11";"2301793"
