"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2013";"112";"108";"175";"201";"596"
"2014";"25354";"1349";"1228";"4198";"32129"
"2015";"2222";"1888";"1918";"4946";"10974"
"2016";"1424";"1124";"1116";"4822";"8486"
"2017";"2171";"1866";"1586";"6676";"12299"
"2018";"2084";"1193";"1010";"4838";"9125"
"2019";"1247";"1170";"1307";"7596";"11320"
"2020";"636";"1004";"873";"3931";"6444"
"2021";"2636";"1680";"1260";"2968";"8544"
"2022";"3240";"1129";"872";"4782";"10023"
"2023";"4475";"1356";"1039";"2800";"9670"
"2024";"4806";"1822";"902";"1788";"9318"
"2025";"4087";"1431";"703";"1586";"7807"
"Total";"54494";"17120";"13989";"51132";"136735"
